,year,name,variant,price,emi,driven_km,fuel,transmission,registration,location,city
304,2019,Hyundai Creta,SX AT 1.6 PETROL,747000.0,13193.0,53266,Petrol,,MH-43,Near Belapur Dmart,Mumbai
305,2013,Volkswagen Vento,HIGHLINE DIESEL 1.6,254000.0,22583.0,96944,Diesel,Manual,MH-48,"Goregaon, Mumbai",Mumbai
306,2023,Skoda KUSHAQ,MONTE CARLO 1.0L TSI MT,1036999.9999999999,17756.0,20303,Petrol,Manual,MH-05,Near Belapur Dmart,Mumbai
307,2023,Mahindra XUV700,AX 7 LUXURY D AT 7 STR,1571000.0,34157.0,140211,Diesel,,MH-15,Near Belapur Dmart,Mumbai
308,2023,Mahindra Thar,LX D AT 4WD HT,1303000.0,22314.0,25514,Diesel,,MH-46,"Regency Anantam, Dombivli East",Mumbai
309,2021,Ford Ecosport,TITANIUM + 1.5L PETROL AT,613000.0,10816.0,56915,Petrol,,MH-02,"Korum Mall, Thane West",Mumbai
310,2021,Hyundai NEW SANTRO,SPORTZ EXECUTIVE MT CNG,380000.0,6708.0,33212,CNG,Manual,MH-46,"Goregaon, Mumbai",Mumbai
311,2018,Jeep Compass,LIMITED 1.4 PETROL AT,668000.0,11790.0,75787,Petrol,,MH-02,Thakur Village Kandivali E Mumbai,Mumbai
312,2019,MG HECTOR,SHARP 1.5 DCT PETROL,888000.0000000001,15205.0,47125,Petrol,,MH-03,"Regency Anantam, Dombivli East",Mumbai
313,2013,Maruti Wagon R 1.0,VXI,157000.0,7377.0,131557,Petrol,Manual,MH-03,"Regency Anantam, Dombivli East",Mumbai
314,2016,Honda City,1.5L I-VTEC VX,400000.0,8909.0,63552,Petrol,Manual,MH-02,"Korum Mall, Thane West",Mumbai
315,2014,Honda City,1.5L I-VTEC VX CVT,331000.0,10981.0,73616,Petrol,,MH-46,Near Belapur Dmart,Mumbai
316,2015,Maruti Celerio,VXI,282000.0,7426.0,14879,Petrol,Manual,MH-43,"Regency Anantam, Dombivli East",Mumbai
