,year,name,variant,price,emi,driven_km,fuel,transmission,registration,location,city
216,2015,Ford Ecosport,TITANIUM 1.5L PETROL,363000.0,9555.0,17685,Petrol,Manual,MH-02,Near Belapur Dmart,Mumbai
217,2016,Datsun Redi Go,T (O),129000.0,2878.0,48543,Petrol,Manual,MH-46,"Goregaon, Mumbai",Mumbai
218,2022,Nissan MAGNITE,XV PREMIUM TURBO (O) CVT,609000.0,10749.0,18891,Petrol,,MH-02,"Goregaon, Mumbai",Mumbai
219,2018,Jeep Compass,SPORT 1.4 PETROL,599000.0,10571.0,36996,Petrol,Manual,MH-03,"Regency Anantam, Dombivli East",Mumbai
220,2019,MG HECTOR,SHARP 2.0 DIESEL,794000.0,14009.0,97617,Diesel,Manual,MH-47,"Regency Anantam, Dombivli East",Mumbai
221,2019,MG HECTOR,SHARP 1.5 DCT PETROL,800000.0,14121.0,30380,Petrol,,MH-04,Thakur Village Kandivali E Mumbai,Mumbai
222,2019,Maruti Ertiga,ZXI+ SHVS,712000.0,12568.0,23139,Petrol,Manual,MH-05,"Regency Anantam, Dombivli East",Mumbai
223,2016,Hyundai Creta,SX PLUS 1.6 PETROL,570000.0,12679.0,85593,Petrol,Manual,MH-31,"Korum Mall, Thane West",Mumbai
224,2015,Honda City,1.5L I-VTEC V MT,329000.0,8659.0,46011,Petrol,Manual,MH-01,"Regency Anantam, Dombivli East",Mumbai
225,2021,Maruti Ertiga,ZXI+ SHVS,767000.0,13531.0,60342,Petrol,Manual,MH-02,Near Belapur Dmart,Mumbai
226,2014,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,227999.99999999997,7563.0,44102,Petrol,Manual,MH-06,Near Belapur Dmart,Mumbai
227,2017,Maruti Celerio,ZXI AMT,312000.0,6102.0,56310,Petrol,,MH-02,"Goregaon, Mumbai",Mumbai
228,2021,Tata Tiago,XZ PETROL,395000.0,6971.0,62550,Petrol,Manual,MH-05,Thakur Village Kandivali E Mumbai,Mumbai
